;year;Día;Mes;valor
455;2019;22;Ago;709.52
456;2019;23;Ago;713.22
457;2019;24;Ago;0.0
458;2019;25;Ago;0.0
459;2019;26;Ago;716.4
460;2019;27;Ago;718.75
461;2019;28;Ago;721.55
462;2019;29;Ago;724.2
463;2019;30;Ago;720.65
464;2019;31;Ago;0.0
465;2020;1;Ago;0.0
466;2020;2;Ago;0.0
467;2020;3;Ago;757.06
468;2020;4;Ago;761.34
469;2020;5;Ago;767.98
470;2020;6;Ago;774.82
471;2020;7;Ago;777.18
472;2020;8;Ago;0.0
473;2020;9;Ago;0.0
474;2020;10;Ago;784.28
475;2020;11;Ago;796.58
476;2020;12;Ago;793.61
477;2020;13;Ago;792.69
478;2020;14;Ago;793.32
479;2020;15;Ago;0.0
480;2020;16;Ago;0.0
481;2020;17;Ago;796.73
482;2020;18;Ago;803.4
483;2020;19;Ago;796.23
484;2020;20;Ago;784.25
485;2020;21;Ago;785.84
486;2020;22;Ago;0.0
487;2020;23;Ago;0.0
488;2020;24;Ago;790.88
489;2020;25;Ago;786.17
490;2020;26;Ago;784.44
491;2020;27;Ago;786.91
492;2020;28;Ago;784.27
493;2020;29;Ago;0.0
494;2020;30;Ago;0.0
495;2020;31;Ago;779.92
496;2019;1;Sep;0.0
497;2019;2;Sep;720.2
498;2019;3;Sep;724.72
499;2019;4;Sep;725.69
500;2019;5;Sep;723.3
501;2019;6;Sep;717.52
502;2019;7;Sep;0.0
503;2019;8;Sep;0.0
504;2019;9;Sep;711.22
505;2019;10;Sep;713.72
506;2019;11;Sep;714.77
507;2019;12;Sep;714.39
508;2019;13;Sep;711.29
509;2019;14;Sep;0.0
510;2019;15;Sep;0.0
511;2019;16;Sep;707.07
512;2019;17;Sep;709.81
513;2019;18;Sep;0.0
514;2019;19;Sep;0.0
515;2019;20;Sep;0.0
516;2019;21;Sep;0.0
517;2019;22;Sep;0.0
518;2019;23;Sep;715.24
519;2019;24;Sep;722.17
520;2019;25;Sep;721.92
521;2019;26;Sep;727.08
522;2019;27;Sep;726.17
523;2019;28;Sep;0.0
524;2019;29;Sep;0.0
525;2019;30;Sep;725.68
526;2019;31;Sep;0.0
527;2020;1;Sep;776.46
528;2020;2;Sep;770.59
529;2020;3;Sep;771.45
530;2020;4;Sep;773.71
531;2020;5;Sep;0.0
532;2020;6;Sep;0.0
533;2020;7;Sep;773.76
534;2020;8;Sep;773.24
535;2020;9;Sep;776.65
536;2020;10;Sep;767.87
537;2020;11;Sep;764.99
538;2020;12;Sep;0.0
539;2020;13;Sep;0.0
540;2020;14;Sep;768.34
541;2020;15;Sep;767.01
542;2020;16;Sep;760.01
543;2020;17;Sep;761.54
544;2020;18;Sep;0.0
545;2020;19;Sep;0.0
546;2020;20;Sep;0.0
547;2020;21;Sep;764.34
548;2020;22;Sep;772.83
549;2020;23;Sep;773.4
550;2020;24;Sep;781.44
551;2020;25;Sep;788.02
552;2020;26;Sep;0.0
553;2020;27;Sep;0.0
554;2020;28;Sep;787.15
555;2020;29;Sep;784.19
556;2020;30;Sep;784.46
557;2020;31;Sep;0.0
558;2019;1;Oct;728.21
559;2019;2;Oct;729.38
560;2019;3;Oct;727.8
561;2019;4;Oct;719.53
562;2019;5;Oct;0.0
563;2019;6;Oct;0.0
564;2019;7;Oct;715.53
565;2019;8;Oct;717.05
566;2019;9;Oct;722.28
567;2019;10;Oct;724.27
568;2019;11;Oct;720.61
569;2019;12;Oct;0.0
570;2019;13;Oct;0.0
571;2019;14;Oct;712.98
572;2019;15;Oct;712.04
573;2019;16;Oct;715.48
574;2019;17;Oct;718.69
575;2019;18;Oct;713.23
576;2019;19;Oct;0.0
577;2019;20;Oct;0.0
578;2019;21;Oct;709.71
579;2019;22;Oct;723.52
580;2019;23;Oct;726.24
581;2019;24;Oct;726.15
582;2019;25;Oct;723.43
583;2019;26;Oct;0.0
584;2019;27;Oct;0.0
585;2019;28;Oct;725.87
586;2019;29;Oct;724.37
587;2019;30;Oct;726.34
588;2019;31;Oct;0.0
589;2020;1;Oct;788.15
590;2020;2;Oct;785.04
591;2020;3;Oct;0.0
592;2020;4;Oct;0.0
593;2020;5;Oct;790.81
594;2020;6;Oct;794.34
595;2020;7;Oct;797.35
596;2020;8;Oct;795.05
597;2020;9;Oct;797.25
598;2020;10;Oct;0.0
599;2020;11;Oct;0.0
600;2020;12;Oct;0.0
601;2020;13;Oct;796.05
602;2020;14;Oct;797.66
603;2020;15;Oct;798.56
604;2020;16;Oct;801.91
605;2020;17;Oct;0.0
606;2020;18;Oct;0.0
607;2020;19;Oct;795.68
608;2020;20;Oct;788.27
609;2020;21;Oct;786.66
610;2020;22;Oct;784.07
611;2020;23;Oct;781.41
612;2020;24;Oct;0.0
613;2020;25;Oct;0.0
614;2020;26;Oct;777.72
615;2020;27;Oct;779.57
616;2020;28;Oct;772.05
617;2020;29;Oct;775.56
618;2020;30;Oct;770.45
619;2020;31;Oct;0.0
620;2019;1;Nov;0.0
621;2019;2;Nov;0.0
622;2019;3;Nov;0.0
623;2019;4;Nov;735.05
624;2019;5;Nov;736.66
625;2019;6;Nov;745.85
626;2019;7;Nov;743.65
627;2019;8;Nov;740.23
628;2019;9;Nov;0.0
629;2019;10;Nov;0.0
630;2019;11;Nov;746.23
631;2019;12;Nov;756.08
632;2019;13;Nov;783.72
633;2019;14;Nov;794.51
634;2019;15;Nov;801.83
635;2019;16;Nov;0.0
636;2019;17;Nov;0.0
637;2019;18;Nov;782.82
638;2019;19;Nov;773.81
639;2019;20;Nov;782.71
640;2019;21;Nov;797.17
641;2019;22;Nov;795.14
642;2019;23;Nov;0.0
643;2019;24;Nov;0.0
644;2019;25;Nov;795.94
645;2019;26;Nov;791.16
646;2019;27;Nov;793.49
647;2019;28;Nov;806.3
648;2019;29;Nov;828.25
649;2019;30;Nov;0.0
650;2019;31;Nov;0.0
651;2020;1;Nov;0.0
652;2020;2;Nov;771.92
653;2020;3;Nov;769.17
654;2020;4;Nov;758.53
655;2020;5;Nov;757.16
656;2020;6;Nov;752.01
657;2020;7;Nov;0.0
658;2020;8;Nov;0.0
659;2020;9;Nov;759.25
660;2020;10;Nov;753.75
661;2020;11;Nov;760.9
662;2020;12;Nov;757.42
